TIME;BeatAvg;;;;;;;;;BeatavgFiltered;SmoothedBeatavgFiltered
00:21:51;71.83;;;;;;;;;75.48;74.7
00:21:52;76.23;;;;;;;;;75.47;74.39
00:21:53;73.9;;;;;;;;;75.38;73.97
00:21:53;71.28;;;;;;;;;74.75;73.55
00:21:54;68.61;;;;;;;;;74.75;73.26
00:21:55;71.07;;;;;;;;;73.47;73.04
00:21:56;77.4;;;;;;;;;72.6;72.88
00:21:57;70.25;;;;;;;;;72.18;72.85
00:21:58;73.55;;;;;;;;;71.13;72.99
00:21:58;70.23;;;;;;;;;70.8;73.31
00:21:59;73.21;;;;;;;;;70.4;73.79
00:22:00;65.35;;;;;;;;;70.58;74.3
00:22:01;69.69;;;;;;;;;70.83;74.59
00:22:02;73.95;;;;;;;;;70.9;74.72
00:22:03;70.86;;;;;;;;;71.1;74.69
00:22:03;71.42;;;;;;;;;71.35;74.5
00:22:04;70.84;;;;;;;;;71.68;74.28
00:22:05;75.6;;;;;;;;;72.13;74.01
00:22:06;72.86;;;;;;;;;72.15;73.61
00:22:07;72.43;;;;;;;;;71.97;73.15
00:22:08;74.5;;;;;;;;;72.3;72.66
00:22:08;75.23;;;;;;;;;72.57;72.15
00:22:09;75.16;;;;;;;;;73.47;71.65
00:22:10;80.09;;;;;;;;;74.52;71.1
00:22:12;76.62;;;;;;;;;75.45;70.5
00:22:13;78.23;;;;;;;;;76.8;69.82
00:22:15;75.82;;;;;;;;;77.4;69.06
00:22:18;78.63;;;;;;;;;77.75;68.24
00:27:34;82.54;;;;;;;;;78.18;67.39
00:27:37;74.12;;;;;;;;;77.78;66.5
00:27:39;68.2;;;;;;;;;76.05;65.61
00:30:09;66.26;;;;;;;;;71.6;64.66
00:30:10;55.75;;;;;;;;;63.27;63.64
00:30:38;52.24;;;;;;;;;56.2;62.57
00:34:08;50.46;;;;;;;;;51.95;61.46
00:36:09;52.01;;;;;;;;;50.6;60.37
00:42:16;65.19;;;;;;;;;52.53;59.29
00:42:17;70.23;;;;;;;;;54.2;58.28
00:42:19;74.0;;;;;;;;;55.03;57.27
00:42:20;75.04;;;;;;;;;53.55;56.25
00:45:03;70.23;;;;;;;;;52.5;55.23
00:47:22;80.0;;;;;;;;;50.73;54.16
00:49:36;85.49;;;;;;;;;49.5;53.1
00:51:24;82.09;;;;;;;;;50.5;52.08
00:58:51;50.27;;;;;;;;;50.27;51.14
00:58:52;52.76;;;;;;;;;50.3;50.34
01:01:42;44.21;;;;;;;;;49.05;49.69
01:01:44;46.43;;;;;;;;;47.33;49.23
01:04:47;49.12;;;;;;;;;47.38;48.91
01:06:08;50.6;;;;;;;;;47.25;48.66
01:06:25;50.52;;;;;;;;;47.93;48.48
01:11:05;42.2;;;;;;;;;48.98;48.3
01:11:37;47.25;;;;;;;;;49.82;48.28
01:12:23;51.68;;;;;;;;;50.15;48.5
01:12:56;49.26;;;;;;;;;50.25;48.92
01:13:19;58.12;;;;;;;;;50.33;49.61
01:14:31;54.7;;;;;;;;;50.5;50.37
01:14:47;55.45;;;;;;;;;51.92;51.18
01:19:32;50.68;;;;;;;;;53.78;51.94
01:19:33;53.52;;;;;;;;;54.03;52.64
01:19:34;54.12;;;;;;;;;53.63;53.38
01:19:35;55.16;;;;;;;;;53.4;54.12
01:21:02;54.47;;;;;;;;;51.78;54.98
01:23:58;56.48;;;;;;;;;51.83;55.91
01:24:07;51.81;;;;;;;;;53.38;56.9
01:24:13;62.49;;;;;;;;;54.58;57.9
01:24:14;56.91;;;;;;;;;58.25;58.83
01:24:15;61.49;;;;;;;;;61.05;59.65
01:24:16;65.62;;;;;;;;;63.1;60.38
01:24:55;62.33;;;;;;;;;64.33;61.11
01:25:54;58.68;;;;;;;;;62.78;61.83
01:25:55;56.31;;;;;;;;;61.7;62.54
01:28:06;53.14;;;;;;;;;58.77;63.17
01:28:07;61.85;;;;;;;;;57.78;63.66
01:28:24;66.71;;;;;;;;;60.25;64.08
01:28:25;69.83;;;;;;;;;62.93;64.5
01:29:08;70.72;;;;;;;;;70.13;64.9
01:29:09;66.81;;;;;;;;;71.92;65.25
01:29:10;74.57;;;;;;;;;71.23;65.56
01:29:22;75.98;;;;;;;;;71.83;65.76
01:29:23;66.66;;;;;;;;;69.35;65.88
01:29:24;69.31;;;;;;;;;72.05;65.91
01:29:25;69.36;;;;;;;;;72.5;65.81
01:29:26;67.49;;;;;;;;;71.4;65.65
01:29:54;66.46;;;;;;;;;69.18;65.48
01:30:27;69.49;;;;;;;;;65.78;65.28
01:30:28;65.53;;;;;;;;;64.65;65.07
01:30:29;63.93;;;;;;;;;62.5;64.86
01:31:36;58.83;;;;;;;;;62.35;64.59
01:31:39;56.02;;;;;;;;;61.0;64.29
01:31:40;57.56;;;;;;;;;59.38;63.93
01:31:41;65.77;;;;;;;;;59.95;63.47
01:31:46;61.83;;;;;;;;;61.13;63.03
01:31:48;60.86;;;;;;;;;62.02;62.64
01:32:36;60.55;;;;;;;;;62.2;62.37
01:32:37;62.9;;;;;;;;;61.1;62.23
01:32:38;56.48;;;;;;;;;60.43;62.13
01:32:39;65.54;;;;;;;;;60.42;62.09
01:32:41;62.35;;;;;;;;;61.3;62.01
01:32:41;58.7;;;;;;;;;61.88;61.88
01:33:11;59.66;;;;;;;;;59.35;61.75
01:33:55;59.01;;;;;;;;;58.33;61.61
01:33:57;56.72;;;;;;;;;58.35;61.63
01:33:58;58.39;;;;;;;;;57.75;61.73
01:33:58;57.27;;;;;;;;;59.15;61.93
01:33:59;62.64;;;;;;;;;59.88;62.3
01:34:00;62.05;;;;;;;;;60.67;62.76
01:34:01;62.46;;;;;;;;;63.65;63.39
01:34:04;67.5;;;;;;;;;65.33;64.06
01:34:05;71.59;;;;;;;;;67.0;64.64
01:34:06;66.7;;;;;;;;;67.6;64.99
01:34:07;63.66;;;;;;;;;66.85;65.12
01:34:08;65.56;;;;;;;;;65.48;65.14
01:34:35;69.66;;;;;;;;;64.35;65.1
01:34:36;60.99;;;;;;;;;63.85;65.1
01:34:37;70.0;;;;;;;;;65.35;65.13
01:34:38;72.17;;;;;;;;;68.85;65.18
01:34:48;77.0;;;;;;;;;71.55;65.31
01:34:49;76.0;;;;;;;;;73.52;65.5
01:34:50;70.56;;;;;;;;;73.03;65.74
01:34:51;64.13;;;;;;;;;71.12;66.0
01:34:52;68.8;;;;;;;;;69.18;66.22
01:34:53;61.27;;;;;;;;;66.38;66.47
01:34:54;60.04;;;;;;;;;63.78;66.72
01:34:55;67.25;;;;;;;;;62.88;66.97
01:34:56;63.55;;;;;;;;;63.8;67.2
01:34:57;73.21;;;;;;;;;66.28;67.26
01:34:57;70.76;;;;;;;;;69.0;67.25
01:34:59;68.98;;;;;;;;;69.75;67.23
01:35:03;65.27;;;;;;;;;68.02;67.17
01:35:42;54.11;;;;;;;;;64.35;67.13
01:35:43;50.77;;;;;;;;;59.03;67.07
01:35:43;55.53;;;;;;;;;56.1;66.99
01:35:44;58.83;;;;;;;;;54.88;66.98
01:36:14;63.48;;;;;;;;;57.13;66.99
01:36:15;65.67;;;;;;;;;63.23;67.02
01:36:18;72.54;;;;;;;;;68.13;67.04
01:36:19;74.35;;;;;;;;;72.48;66.99
01:36:29;71.58;;;;;;;;;74.6;66.89
01:36:30;76.67;;;;;;;;;74.45;66.75
01:36:31;66.94;;;;;;;;;73.63;66.61
01:36:32;72.2;;;;;;;;;72.13;66.56
01:36:33;70.82;;;;;;;;;70.43;66.61
